Sector;Type;2015;2016;2017;2018;2019;2020;2021;2022
Forestry;emission;0.943699189;0.950790255;0.843550567;0.880910889;1.210342023;1.079891053;1.337131639;1.145785689
Forestry;removal;-0.590218019;-0.59751979;-0.602928972;-0.613448445;-0.619081641;-0.625120783;-0.629158004;-0.629965934
Agriculture;emission;0.833149224;0.84554755;0.842457301;0.834915868;0.8340142;0.84468912;0.867359619;0.893511401
Agriculture;removal;-0.328966517;-0.336725197;-0.351358198;-0.368518053;-0.389655192;-0.406839263;-0.421163063;-0.430415582
Waste;emission;0.081909447;0.083829655;0.085273595;0.088034392;0.089359841;0.091239143;0.091984623;0.091333389
Waste;removal;0;0;0;0;0;0;0;0
Energy;emission;0.451898399;0.419279813;0.426908866;0.405701108;0.409112176;0.38741226;0.434325177;0.412486072
Energy;removal;0;0;0;0;0;0;0;0
Industry;emission;0.079483185;0.074926786;0.076136079;0.076621252;0.075500451;0.076275474;0.082927268;0.078082746
Industry;removal;0;0;0;0;0;0;0;0
